das,(altes und hässliches) Weib {n},cadaloz,noun,,n
die,(bestimmte) Menge {f},hak,noun,,f
der,(dicker) Stock {m},sopa,noun,,m
der,(Echter) Ölbaum {m},zeytin ağacı [Olea europaea],noun,[bot.] [T],m
die,(erhobene) Gebühr {f},hak,noun,,f
"die, pl",(gesammelte) Werke {pl},külliyat,noun,[lit.],pl
das,(grobes) Leinen {n},Amerikan bezi,noun,[textil.],n
das,(grobes) Leinen {n},kaput bezi,noun,[textil.],n
der,(jüngerer) Bruder {m},erkek kardeş,noun,,m
die,(konkrete) Befugnis {f},hak,noun,,f
das,(konkretes) Anrecht {n},hak,noun,,n
die,(konkretes) Recht {f},hak,noun,,f
der,(Nordamerikanischer) Waschbär {m},bayağı rakun [Procyon lotor],noun,[zool.] [T],m
die,(offizielle) Erklärung {f},demeç,noun,,f
die,(praktische) Anwendung {f},tatbik,noun,,f
der,(zukommender) Anteil {m},hak,noun,,m
der,(überraschender) Angriff {m},hamle,noun,[mil.],m
das,00 {n} [gesprochen: null null],yüz numara,noun,,n
der,Aachener Dom {m},Aachen Katedrali,noun,[UWH],m
der,Aal {m},yılan balığı,noun,[fish] [T],m
"die, pl",Abbasiden {pl},Abbasiler,noun,[hist.],pl
die,Abbildung {f},illüstrasyon,noun,[print],f
die,Abbildung {f},resim,noun,[print],f
das,Abblendlicht {n},kısa far,noun,[automot.],n
das,Abchasisch {n},Abhazca,noun,[ling.],n
das,Abc {n},abece,noun,,n
die,abelsche Gruppe {f},Abel grubu,noun,[math.],f
die,abelsche Gruppe {f},değişmeli grup,noun,[math.],f
das,Abendbrot {n},akşam yemeği,noun,,n
das,Abendessen {n},akşam yemeği,noun,,n
das,Abendkleid {n},gece elbisesi,noun,[cloth.],n
das,Abendland {n},Batı Avrupa,noun,[geogr.] [hist.],n
das,Abendrot {n},akşam kızıllığı,noun,,n
die,Abendschule {f},akşam okulu,noun,,f
der,Abendstern {m},Çobanyıldızı,noun,,m
der,Abendstern {m},Çoban Yıldızı,noun,,m
der,Abend {m},akşam,noun,,m
die,Abenteuerlust {f},maceracılık,noun,,f
das,Abenteuer {n},macera,noun,,n
das,Abenteuer {n},serüven,noun,,n
der,Aberglaube {m},batıl inanç,noun,,m
der,Aberglaube {m},hurafe,noun,,m
die,Abfahrt {f},gidiş,noun,,f
die,Abfahrt {f},hareket,noun,,f
die,Abfahrt {f},kalkış,noun,,f
der,Abfall {m},atık,noun,,m
der,Abfall {m},çöp,noun,,m
der,Abfangjäger {m},av-önleme uçağı,noun,[mil.],m
das,Abfluggewicht {n},kalkış ağırlığı,noun,[aviat.],n
der,Abflug {m},gidiş,noun,[aviat.],m
der,Abflug {m},kalkış,noun,[aviat.],m
die,Abfrage {f},sorgulama,noun,[comp.],f
das,Abführmittel {n},laksatif,noun,[med.],n
das,Abführmittel {n},müshil,noun,[med.],n
die,Abgabe {f},harç,noun,[law],f
"die, pl",Abgase {pl},atık gaz,noun,[traffic],pl
das,Abgas {n},atık gaz,noun,[tech.],n
der,Abgeordneter {m},milletvekili,noun,[pol.],m
der,Abgott {m},sanem,noun,[relig.],m
die,Abhandlung {f},risale [eski],noun,,f
die,Abhandlung {f},tez,noun,,f
die,Abhilfe {f},çare,noun,,f
die,Abholzung {f},ağaç kesimi,noun,,f
die,Abhängigkeit {f},bağımlılık,noun,,f
das,Abitur {n},bakalorya,noun,[educ.],n
das,Abitur {n},olgunluk sınavı [bakalorya],noun,[educ.],n
das,Abkommen {n},antlaşma,noun,[pol.],n
die,Abkühlung {f},serinleme,noun,,f
die,Abkürzung {f} <Abk.>,kısaltma,noun,,f
der,Ablativ {m},-den hali,noun,[ling.],m
der,Ablativ {m},ablatif,noun,[ling.],m
der,Ablativ {m},den hali,noun,[ling.],m
das,Ablaufdiagramm {n},akış şeması,noun,,n
der,Ablauf {m},akış,noun,,m
die,Ablehnung {f},iade,noun,,f
die,Ableitung {f},türev,noun,[math.],f
die,Abmachung {f},anlaşma,noun,,f
die,Abmachung {f},sözleşme,noun,,f
die,Abmachung {f},uyuşma,noun,,f
die,Abmagerungskur {f},rejim,noun,,f
die,Abmahnung {f},ihtar,noun,,f
die,Abmahnung {f},ikaz,noun,[law],f
"die, pl",Abmessungen {pl},ölçüm {sg},noun,,pl
